frequency_Hz,gain_dB,phase_deg
28.8403150313,-0.140316687683,-10.2710586381
29.17427014,-0.143531657526,-10.3874172345
29.5120922667,-0.146819051729,-10.5050351184
29.8538261892,-0.150180445145,-10.6239239145
30.199517204,-0.153617444297,-10.7440952856
30.5492111322,-0.157131687895,-10.8655609307
30.9029543251,-0.160724847359,-10.9883325822
31.2607936712,-0.164398627347,-11.1124220032
31.6227766017,-0.168154766279,-11.2378409846
31.9889510969,-0.17199503687,-11.3646013424
32.359365693,-0.175921246662,-11.4927149144
32.7340694879,-0.179935238555,-11.622193557
33.1131121483,-0.184038891346,-11.753049142
33.4965439158,-0.188234120261,-11.8852935532
33.8844156139,-0.192522877492,-12.0189386827
34.2767786546,-0.196907152731,-12.1539964274
34.6736850453,-0.20138897371,-12.2904786847
35.0751873953,-0.20597040673,-12.428397349
35.4813389234,-0.210653557196,-12.5677643076
35.8921934645,-0.215440570147,-12.7085914358
36.307805477,-0.220333630784,-12.8508905933
36.7282300498,-0.225334964995,-12.994673619
37.1535229097,-0.230446839877,-13.1399523265
37.5837404288,-0.235671564249,-13.2867384993
38.0189396321,-0.241011489168,-13.4350438857
38.4591782045,-0.246469008431,-13.5848801934
38.9045144994,-0.252046559078,-13.7362590843
39.3550075456,-0.257746621879,-13.8891921692
39.8107170554,-0.263571721821,-14.0436910015
40.2717034325,-0.269524428584,-14.1997670719
40.7380277804,-0.275607357004,-14.3574318018
41.2097519097,-0.281823167529,-14.5166965375
41.686938347,-0.288174566661,-14.6775725437
42.1696503429,-0.29466430739,-14.8400709968
42.6579518802,-0.301295189608,-15.0042029778
43.1519076828,-0.308070060514,-15.1699794662
43.651583224,-0.314991815003,-15.3374113319
44.1570447353,-0.322063396035,-15.5065093285
44.6683592151,-0.32928779499,-15.6772840854
45.1855944375,-0.336668052004,-15.8497461003
45.7088189615,-0.344207256281,-16.0239057313
46.2381021399,-0.351908546392,-16.1997731884
46.7735141287,-0.359775110542,-16.3773585258
47.3151258961,-0.36781018682,-16.5566716331
47.8630092323,-0.376017063426,-16.7377222265
48.4172367584,-0.384399078862,-16.9205198402
48.9778819368,-0.392959622105,-17.1050738171
49.5450190805,-0.401702132748,-17.2913932999
50.1187233627,-0.410630101111,-17.4794872213
50.6990708275,-0.419747068315,-17.6693642945
51.2861383991,-0.429056626334,-17.8610330035
51.8800038929,-0.438562418001,-18.054501593
52.480746025,-0.448268136983,-18.2497780583
